Tramo,Año,Descripción,Unidad,Fecha,Inicio (km),Fin (km),Metrado
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-17,125+400,125+450,144
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-18,125+400,125+450,216
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-20,125+400,125+450,228
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-21,125+400,125+450,108
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-22,125+400,125+450,108
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-01-24,125+400,125+450,108
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-01-26,123+700,125+650,40
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-01-30,125+450,125+550,100
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-01-30,125+450,125+560,110
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-05,125+400,125+450,96
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-08,125+400,125+450,132
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-11,125+400,125+450,120
km 125+300 - 125+500,2018,Limpieza de carril/pista y bermas T2,m2,2018-02-12,125+390,125+540,100
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-02-12,125+500,125+600,100
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-13,125+400,125+450,72
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-14,125+400,125+450,108
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-15,125+400,125+450,180
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-16,125+400,125+450,120
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-20,125+400,125+450,48
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-21,125+400,125+450,36
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-02-22,125+400,125+460,120
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-22,125+400,125+450,228
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-02-23,125+400,125+550,72
km 125+300 - 125+500,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-02-28,125+400,125+450,25
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-03-02,125+400,125+440,40
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-03-12,125+400,125+450,168
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-03-13,125+400,125+450,144
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-03-16,125+400,125+700,300
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-03-17,125+400,125+450,156
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-03-19,125+390,125+500,110
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-03-20,125+400,125+450,216
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-03-21,125+390,125+550,160
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-03-22,125+400,125+500,100
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-03-23,125+400,125+450,180
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-03-27,31+650,131+700,50
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-04-01,125+400,125+450,60
km 125+300 - 125+500,2018,Limpieza de carril/pista y bermas T2,m2,2018-04-21,125+500,125+900,316.8
km 125+300 - 125+500,2018,Limpieza de carril/pista y bermas T2,m2,2018-07-07,109+200,198+400,30
km 125+300 - 125+500,2018,Limpieza de carril/pista y bermas T2,m2,2018-12-08,125+430,125+450,36
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-12-10,125+500,125+680,180
km 125+300 - 125+500,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-12-17,125+250,125+400,150
km 125+300 - 125+500,2018,Remocion de Derrumbes T2,m3,2018-12-19,125+400,125+420,72
km 125+300 - 125+500,2019,Limpieza Manual de Cuneta de Vía T2,ml,2018-12-26,125+400,125+450,50
km 125+300 - 125+500,2019,Limpieza Manual de Cuneta de Vía T2,ml,2018-12-31,125+500,125+700,200
km 125+300 - 125+500,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-01-02,125+400,125+430,30
km 125+300 - 125+500,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-01-04,125+400,125+450,50
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-11,125+400,125+415,60
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-12,125+400,125+415,60
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-14,125+400,125+415,48
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-18,125+400,125+415,180
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-19,125+400,125+415,36
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-20,125+400,125+415,48
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-21,125+400,125+415,168
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-22,125+400,125+415,24
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-23,125+400,125+415,156
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-25,125+400,125+420,36
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-26,125+400,125+420,48
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-28,125+400,125+450,300
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-29,125+400,125+420,96
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-30,125+400,125+420,48
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-01-31,125+400,125+420,204
km 125+300 - 125+500,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-02-02,125+300,125+500,200
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-02-02,125+400,125+420,120
km 125+300 - 125+500,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-02-03,125+300,125+500,200
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-02-04,125+400,125+420,240
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-02-05,125+400,125+420,240
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-02-06,125+400,125+420,264
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-02-07,125+400,125+420,156
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-02-08,125+400,125+420,192
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-02-10,125+400,125+450,84
km 125+300 - 125+500,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-02-10,125+400,125+450,84
km 125+300 - 125+500,2019,Remocion de Derrumbes T2,m3,2019-02-11,125+400,125+430,36
